application,feature_block,coverage_target,mean,sem
humanitarian,graph_disagreement,0.75,6.85,0.24467957485522682
humanitarian,graph_disagreement,1.0,9.544444444444444,0.3098148485166653
humanitarian,jensen_shannon,0.25,2.1444444444444444,0.11145508519702897
humanitarian,jensen_shannon,0.5,4.483333333333333,0.18129046349419942
humanitarian,jensen_shannon,0.75,6.933333333333334,0.25354103021744695
humanitarian,jensen_shannon,1.0,9.544444444444444,0.3098148485166653
humanitarian,jensen_tsallis_q_0_5,0.25,2.1777777777777776,0.11174246449278866
humanitarian,jensen_tsallis_q_0_5,0.5,4.394444444444445,0.1811229922262415
humanitarian,jensen_tsallis_q_0_5,0.75,6.911111111111111,0.25054736959848156
humanitarian,jensen_tsallis_q_0_5,1.0,9.544444444444444,0.3098148485166653
humanitarian,jensen_tsallis_q_1_5,0.25,2.183333333333333,0.11538266563155544
humanitarian,jensen_tsallis_q_1_5,0.5,4.5,0.18129474340173915
humanitarian,jensen_tsallis_q_1_5,0.75,6.911111111111111,0.2520294890878596
humanitarian,jensen_tsallis_q_1_5,1.0,9.544444444444444,0.3098148485166653
humanitarian,jensen_tsallis_q_2,0.25,2.15,0.11238484692121381
humanitarian,jensen_tsallis_q_2,0.5,4.527777777777778,0.1819663879091749
humanitarian,jensen_tsallis_q_2,0.75,6.883333333333334,0.25091700226088276
humanitarian,jensen_tsallis_q_2,1.0,9.544444444444444,0.3098148485166653
humanitarian,jensen_tsallis_q_3,0.25,2.2111111111111112,0.11471198080666645
humanitarian,jensen_tsallis_q_3,0.5,4.538888888888889,0.18516754519750117
humanitarian,jensen_tsallis_q_3,0.75,6.961111111111111,0.24794173051576834
humanitarian,jensen_tsallis_q_3,1.0,9.544444444444444,0.3098148485166653
humanitarian,kpi_confidence,0.25,0.9388888888888889,0.08708104948806855
humanitarian,kpi_confidence,0.5,2.7,0.16914360549530197
humanitarian,kpi_confidence,0.75,5.461111111111111,0.25055666007153043
humanitarian,kpi_confidence,1.0,9.544444444444444,0.3098148485166653
humanitarian,local_shannon,0.25,2.111111111111111,0.1050815913340635
humanitarian,local_shannon,0.5,4.35,0.1767832790360592
humanitarian,local_shannon,0.75,6.916666666666667,0.24612137119853197
humanitarian,local_shannon,1.0,9.544444444444444,0.3098148485166653
humanitarian,low_consensus_guard,0.25,2.05,0.11451866721048057
humanitarian,low_consensus_guard,0.5,4.311111111111111,0.17587043240329997
humanitarian,low_consensus_guard,0.75,6.811111111111111,0.2472428833804974
humanitarian,low_consensus_guard,1.0,9.544444444444444,0.3098148485166653
humanitarian,oracle_risk_upper_bound,0.25,0.2777777777777778,0.062064400362844684
humanitarian,oracle_risk_upper_bound,0.5,1.7444444444444445,0.17317322182193778
humanitarian,oracle_risk_upper_bound,0.75,4.972222222222222,0.26792424088740724
humanitarian,oracle_risk_upper_bound,1.0,9.544444444444444,0.3098148485166653
humanitarian,pooled_shannon,0.25,2.061111111111111,0.11257493232184543
humanitarian,pooled_shannon,0.5,4.355555555555555,0.18951770310535737
humanitarian,pooled_shannon,0.75,6.833333333333333,0.25462817184466924
humanitarian,pooled_shannon,1.0,9.544444444444444,0.3098148485166653
humanitarian,predictive_action_entropy,0.25,4.0,0.10392663219289447
humanitarian,predictive_action_entropy,0.5,6.4944444444444445,0.20171475060019078
humanitarian,predictive_action_entropy,0.75,7.972222222222222,0.2721766135674272
humanitarian,predictive_action_entropy,1.0,9.544444444444444,0.3098148485166653
