model_key,window_sweeps,held_out_cluster,condition,training_clusters,held_out_cluster_excluded,training_nominal_threshold_95,maximum_distance,mean_distance
qwen,3,V15Q_g2,field_scrambled,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.232724648734355,126.25171224224268,13.153015040500721
qwen,3,V15Q_g2,nominal_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,7.232724648734355,11.854756968521189,1.95680677755648
qwen,3,V15Q_g3,field_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,7.246382477383056,122.85891721298267,14.286747946582123
qwen,3,V15Q_g3,field_persistent,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,7.246382477383056,121.97620631088796,14.096138743523488
qwen,3,V15Q_g3,field_scrambled,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,7.246382477383056,106.91974673528134,12.755908123828746
qwen,3,V15Q_g3,nominal_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,7.246382477383056,15.589062307592474,2.9470171717353555
qwen,3,V15Q_g4,field_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g5""]",True,7.690900789469304,129.6024740498168,16.950942109282334
qwen,3,V15Q_g4,field_persistent,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g5""]",True,7.690900789469304,127.93616028728718,16.915834112820477
qwen,3,V15Q_g4,field_scrambled,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g5""]",True,7.690900789469304,94.69914639293701,13.915813859510626
qwen,3,V15Q_g4,nominal_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g5""]",True,7.690900789469304,13.797469454315896,5.620984384512207
qwen,3,V15Q_g5,field_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4""]",True,7.471178040749409,115.39308600817297,12.895717146344575
qwen,3,V15Q_g5,field_persistent,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4""]",True,7.471178040749409,117.12133560667048,12.629467870415871
qwen,3,V15Q_g5,field_scrambled,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4""]",True,7.471178040749409,115.97465895828572,12.233561301755337
qwen,3,V15Q_g5,nominal_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4""]",True,7.471178040749409,10.36132545145463,2.4062148276867243
qwen,5,V15Q_g0,field_markovized,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.7225272441820465,102.90412733974564,17.951471410734584
qwen,5,V15Q_g0,field_persistent,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.7225272441820465,103.59057411085762,18.4619610621329
qwen,5,V15Q_g0,field_scrambled,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.7225272441820465,102.70220446640023,17.126742695464138
qwen,5,V15Q_g0,nominal_markovized,"[""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.7225272441820465,8.135918393442033,2.389337614866129
qwen,5,V15Q_g1,field_markovized,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.871486397572315,125.30915869753844,20.976035428452715
qwen,5,V15Q_g1,field_persistent,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.871486397572315,125.47990420202417,22.2179705620556
qwen,5,V15Q_g1,field_scrambled,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.871486397572315,126.04623793199383,21.048603175839915
qwen,5,V15Q_g1,nominal_markovized,"[""V15Q_g0"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.871486397572315,9.075082345603498,2.063533341147376
qwen,5,V15Q_g2,field_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.828316402914248,120.04760073352054,19.98622694938842
qwen,5,V15Q_g2,field_persistent,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.828316402914248,118.35895026582044,20.460549471453493
qwen,5,V15Q_g2,field_scrambled,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.828316402914248,118.54940369909691,20.40441656357738
qwen,5,V15Q_g2,nominal_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g3"", ""V15Q_g4"", ""V15Q_g5""]",True,6.828316402914248,9.948409862538917,2.095533521733848
qwen,5,V15Q_g3,field_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,6.773507017035193,117.95551363010392,21.219710618627893
qwen,5,V15Q_g3,field_persistent,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,6.773507017035193,117.37325015685319,21.43443713059942
qwen,5,V15Q_g3,field_scrambled,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,6.773507017035193,105.75998633469717,19.489708015181318
qwen,5,V15Q_g3,nominal_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g4"", ""V15Q_g5""]",True,6.773507017035193,14.542986245326887,3.24627443612714
qwen,5,V15Q_g4,field_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g5""]",True,6.8209969351781945,123.15791346956334,24.054362120003514
qwen,5,V15Q_g4,field_persistent,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g5""]",True,6.8209969351781945,124.42441732973592,24.46607539361681
qwen,5,V15Q_g4,field_scrambled,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g5""]",True,6.8209969351781945,97.48843181889491,20.20767652722782
qwen,5,V15Q_g4,nominal_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g5""]",True,6.8209969351781945,10.467175218221582,5.927794286699259
qwen,5,V15Q_g5,field_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4""]",True,6.7925865155249285,111.0901492854194,18.328109407439992
qwen,5,V15Q_g5,field_persistent,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4""]",True,6.7925865155249285,111.81553673660186,19.618788302808362
qwen,5,V15Q_g5,field_scrambled,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4""]",True,6.7925865155249285,110.88446578558573,19.0269224981612
qwen,5,V15Q_g5,nominal_markovized,"[""V15Q_g0"", ""V15Q_g1"", ""V15Q_g2"", ""V15Q_g3"", ""V15Q_g4""]",True,6.7925865155249285,9.729067349436328,2.51692459343533
