phase,lag_updates,lag_sweeps,autocorrelation,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
baseline,25,1.5625,-0.08766189713789509,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,26,1.625,-0.08807231111727346,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,27,1.6875,-0.08848657874904035,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,28,1.75,-0.08890475456601259,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,29,1.8125,-0.08932689413480446,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,30,1.875,-0.08975305408044199,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,31,1.9375,-0.0901832921116837,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
baseline,32,2.0,-0.09061766704707194,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,0,0.0,1.0,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
disruption,1,0.0625,0.8549555562257339,qwen,V15Q_g0,V15Q_g0_field_persistent,field_persistent,persistent_memory,16
