phase,graph_distance,connected_correlation,pair_count,within_pair_sd,model_key,cluster_id,panel_id,condition,memory_mode,n_agents
recovery,2.0,-0.014110243055555532,48.0,0.09155467971389486,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
recovery,3.0,0.004428819444444435,40.0,0.08891997415346806,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
recovery,4.0,0.031206597222222215,8.0,0.10888681323881644,qwen,V15Q_g2,V15Q_g2_field_persistent,field_persistent,persistent_memory,16
baseline,1.0,-0.02664351851851852,24.0,0.12734865236179235,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,2.0,-0.006691261574074076,48.0,0.11603541412812383,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,3.0,0.006380208333333338,40.0,0.10355470071206106,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
baseline,4.0,-0.015112847222222225,8.0,0.16407839770334096,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,1.0,-0.010057870370370375,24.0,0.10152428477461949,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,2.0,-0.012456597222222225,48.0,0.09095569777669804,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,3.0,0.010317708333333347,40.0,0.09231920852850706,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
disruption,4.0,0.05724826388888887,8.0,0.08443869205471853,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,1.0,-0.018417245370370403,24.0,0.10149941856609827,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,2.0,-0.014110243055555532,48.0,0.09155467971389486,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
recovery,3.0,0.004428819444444435,40.0,0.08891997415346806,qwen,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,scrambled_memory,16
