model_key,condition,phase,lag_updates,lag_sweeps,metric,estimate,ci_low,ci_high,independent_clusters,clusters_total,undefined_clusters,bootstrap_replicates,source_type,lag_truncation_sweeps,lag_truncation_updates,is_primary,lag_estimable,integrated_autocorrelation_time_updates,cluster_id,panel_id,memory_mode,n_agents,binder_cumulant,magnetization_second_moment,near_zero_denominator,phase_updates,temporal_window,magnetization_fourth_moment,window_updates,pooling_rule,valid_bootstrap_replicates,belief_magnetization
granite,nominal_markovized,recovery,5.0,0.3125,autocorrelation,0.8265955061875696,0.7185983827493262,0.9250924771565034,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,6.0,0.375,autocorrelation,0.7910253536106607,0.6608749740825213,0.909726831445017,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,7.0,0.4375,autocorrelation,0.7551498778356669,0.6026560855129971,0.8942292917789255,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,8.0,0.5,autocorrelation,0.7189651307177851,0.5439353099730458,0.8785981526329538,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,9.0,0.5625,autocorrelation,0.6824670957460689,0.4847061294500647,0.862831678948922,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,10.0,0.625,autocorrelation,0.6456516865572072,0.4249619125747098,0.8469281054937243,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,11.0,0.6875,autocorrelation,0.6085147454103643,0.3646959121458585,0.8308856362004903,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,12.0,0.75,autocorrelation,0.5710520416218824,0.3039012625904383,0.8147024434924031,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,13.0,0.8125,autocorrelation,0.5332592699586123,0.2425709773561156,0.7983766675886502,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,14.0,0.875,autocorrelation,0.4951320489885873,0.1806979462347637,0.7819064157919435,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
granite,nominal_markovized,recovery,15.0,0.9375,autocorrelation,0.4566659193877179,0.1182749326145552,0.765289761757044,4.0,6.0,2.0,10000.0,autocorrelation,,,,,,,,,,,,,,,,,,,
