application,time,independent_n,belief_order_mean,belief_order_ci_low,belief_order_ci_high,action_order_mean,action_order_ci_low,action_order_ci_high,belief_action_consistency_mean,belief_action_consistency_ci_low,belief_action_consistency_ci_high,belief_entropy_mean,belief_entropy_ci_low,belief_entropy_ci_high,action_entropy_mean,action_entropy_ci_low,action_entropy_ci_high,entropy_flow_per_update_mean,entropy_flow_per_update_ci_low,entropy_flow_per_update_ci_high,workload_density_mean,workload_density_ci_low,workload_density_ci_high,service_loss_mean,service_loss_ci_low,service_loss_ci_high,cascade_depth_mean,cascade_depth_ci_low,cascade_depth_ci_high,activity_mean,activity_ci_low,activity_ci_high
humanitarian,82,8,-0.1953125,-0.4499002872,0.05927528723,-0.12109375,-0.2964249795,0.0542374795,0.38671875,0.3041062261,0.4693312739,0.8732047336,0.7220621423,1.024347325,0.9473312152,0.898283665,0.9963787653,-0.01115616014,-0.04584319577,0.0235308755,0.2899520449,0.2739424592,0.3059616306,18.55693087,17.53231739,19.58154436,2.25,1.532713446,2.967286554,0.240234375,0.1930602642,0.2874084858
humanitarian,83,8,-0.1484375,-0.4407533141,0.1438783141,-0.12890625,-0.2944098169,0.03659731692,0.41796875,0.3276101707,0.5083273293,0.8534366317,0.6838945889,1.022978675,0.9501881849,0.8964822921,1.003894078,0.01679528268,-0.0332450049,0.06683557026,0.288203998,0.2719664603,0.3044415357,18.44505587,17.40585346,19.48425829,2.25,1.532713446,2.967286554,0.2265625,0.2003581125,0.2527668875
humanitarian,84,8,-0.15234375,-0.4647525257,0.1600650257,-0.125,-0.2845525971,0.03455259713,0.41015625,0.3186923259,0.5016201741,0.8275268709,0.6205660034,1.034487738,0.9537595531,0.9052741301,1.002244976,-0.003580451671,-0.05255158523,0.04539068188,0.2877188636,0.2713725256,0.3040652016,18.41400727,17.36784164,19.4601729,2.25,1.532713446,2.967286554,0.240234375,0.2080429879,0.2724257621
humanitarian,85,8,-0.0859375,-0.4417207743,0.2698457743,-0.08203125,-0.2646613005,0.1005988005,0.44140625,0.3521667056,0.5306457944,0.8032225967,0.6168885379,0.9895566555,0.9496169859,0.8991055613,1.000128411,0.01508340057,-0.01824247011,0.04840927125,0.2870645667,0.2704319276,0.3036972057,18.37213227,17.30764337,19.43662117,2.25,1.532713446,2.967286554,0.23828125,0.2037977564,0.2727647436
humanitarian,86,8,-0.0234375,-0.3685151917,0.3216401917,-0.0390625,-0.2059015059,0.1277765059,0.4296875,0.353125,0.50625,0.8219587543,0.6492951053,0.9946224033,0.9616176965,0.9328430953,0.9903922977,-0.008546379414,-0.06757988316,0.05048712433,0.2875040198,0.2707783993,0.3042296403,18.40025727,17.32981756,19.47069698,2.25,1.532713446,2.967286554,0.2197265625,0.1837645931,0.2556885319
humanitarian,87,8,-0.05859375,-0.3662487303,0.2490612303,-0.0078125,-0.1782270337,0.1626020337,0.39453125,0.3049171413,0.4841453587,0.8597837842,0.720478112,0.9990894565,0.9610892136,0.9327351225,0.9894433048,-0.03672480631,-0.07012868305,-0.003320929565,0.2868497229,0.2699514606,0.3037479853,18.35838227,17.27689348,19.43987106,2.25,1.532713446,2.967286554,0.2529296875,0.2253341669,0.2805252081
humanitarian,88,8,-0.0625,-0.3866045356,0.2616045356,-0.046875,-0.2258226617,0.1320726617,0.4453125,0.3500368924,0.5405881076,0.8429524286,0.6912376001,0.9946672571,0.9551316321,0.9140190058,0.9962442584,0.02893953102,-0.02194556992,0.07982463195,0.2861954261,0.2686783733,0.3037124789,18.31650727,17.19541589,19.43759865,2.25,1.532713446,2.967286554,0.2548828125,0.2188626757,0.2909029493
humanitarian,89,8,-0.046875,-0.3799501604,0.2862001604,0.00390625,-0.1458736178,0.1536861178,0.37109375,0.2739468282,0.4682406718,0.8351245465,0.6785812044,0.9916678886,0.9701394359,0.9510204546,0.9892584171,-0.03056716017,-0.06800371334,0.006869393004,0.2866348792,0.2690308086,0.3042389498,18.34463227,17.21797175,19.47129279,2.25,1.532713446,2.967286554,0.2373046875,0.2183426298,0.2562667452
humanitarian,90,8,-0.0078125,-0.3055777769,0.2899527769,0.046875,-0.1475050241,0.2412550241,0.3828125,0.288953709,0.476671291,0.8683129737,0.7129793559,1.023646592,0.9475497125,0.9113687876,0.9837306373,0.003545250983,-0.06677795889,0.07386846086,0.3162251057,0.2979889484,0.3344612631,20.23840677,19.0712927,21.40552084,2.25,1.532713446,2.967286554,0.2509765625,0.2104183053,0.2915348197
humanitarian,91,8,0.0078125,-0.2621023086,0.2777273086,-0.0703125,-0.2575834539,0.1169584539,0.34375,0.22125,0.46625,0.8926201124,0.7525748554,1.032665369,0.9490136595,0.9080782791,0.98994904,0.008649501673,-0.04851614553,0.06581514887,0.3150239338,0.2969440511,0.3331038165,20.16153177,19.00441927,21.31864426,2.25,1.532713446,2.967286554,0.232421875,0.1927706089,0.2720731411
