family,cluster_id,metric,alpha,paired_difference
collective_network,collective_n8_modular_k0.80_t0.50_g1,belief_integrated_autocorrelation_time_updates,0.8,2.9963204553087976
collective_network,collective_n8_modular_k0.80_t0.85_g0,belief_integrated_autocorrelation_time_updates,0.8,2.1689860976696966
collective_network,collective_n8_modular_k0.80_t0.85_g1,belief_integrated_autocorrelation_time_updates,0.8,5.844226855002642
collective_network,collective_n8_ring_k0.35_t0.50_g0,belief_integrated_autocorrelation_time_updates,0.8,0.0
collective_network,collective_n8_ring_k0.35_t0.50_g1,belief_integrated_autocorrelation_time_updates,0.8,-0.1858017951026696
collective_network,collective_n8_ring_k0.35_t0.85_g0,belief_integrated_autocorrelation_time_updates,0.8,-0.8267886011112573
collective_network,collective_n8_ring_k0.35_t0.85_g1,belief_integrated_autocorrelation_time_updates,0.8,0.0
collective_network,collective_n8_ring_k0.80_t0.50_g0,belief_integrated_autocorrelation_time_updates,0.8,0.9746267970279678
collective_network,collective_n8_ring_k0.80_t0.50_g1,belief_integrated_autocorrelation_time_updates,0.8,-2.28168216034649
collective_network,collective_n8_ring_k0.80_t0.85_g0,belief_integrated_autocorrelation_time_updates,0.8,-0.5634728802976721
collective_network,collective_n8_ring_k0.80_t0.85_g1,belief_integrated_autocorrelation_time_updates,0.8,-3.756372678444187
