n_agents,topology,temperature,alpha,independent_n,pathwise_irreversibility_per_update_mean,pathwise_irreversibility_per_update_ci_low,pathwise_irreversibility_per_update_ci_high
32.0,modular,1.5,0.1,4,0.00034198056383188665,-6.170272695797655e-05,0.000849637338737797
32.0,modular,1.5,0.35,4,0.00458714679484655,0.002358137933331125,0.007001805518496025
32.0,modular,1.5,0.65,4,0.028188651435652898,0.019828927761923,0.04121578043238122
32.0,modular,1.65,0.0,4,0.000101575046929525,-0.000200956709431,0.00040410680329005003
32.0,modular,1.65,0.1,4,0.0003662199549225,-6.894674986874986e-06,0.0007479505999734249
32.0,modular,1.65,0.35,4,0.0044647713431544,0.0026559489523873,0.006273593733921501
32.0,modular,1.65,0.65,4,0.027784969568241925,0.02102772375427615,0.0373780236560086
32.0,modular,1.8,0.0,4,-0.00011786452281528796,-0.0003023938715052,0.00010630934103667499
32.0,modular,1.8,0.1,4,0.0005547076380903,0.000237966445608175,0.000851379277550075
32.0,modular,1.8,0.35,4,0.005641428664057175,0.00359519774603825,0.008806941341028749
32.0,modular,1.8,0.65,4,0.03239196892652575,0.023783054989996923,0.042375676919400876
32.0,modular,2.1,0.0,4,2.7674288003399984e-05,-0.00038337678579785,0.00043872536180465
32.0,modular,2.1,0.1,4,0.0006461175260089999,0.0002358439518516,0.0010563911001664
32.0,modular,2.1,0.35,4,0.007736632556204924,0.006727566855691575,0.009037611399198701
32.0,modular,2.1,0.65,4,0.03230435742156222,0.0279852586322163,0.03662345621090815
32.0,ring,1.3,0.0,4,4.207076586617787e-05,-9.555323963864825e-05,0.0002169675387377509
32.0,ring,1.3,0.1,4,0.0011138891477373,0.0007528093527288499,0.0015474985217654
32.0,ring,1.3,0.35,4,0.015899966990115824,0.015355878359910124,0.0164830611994893
32.0,ring,1.3,0.65,4,0.05765260528606603,0.0560012281329691,0.05942769684284423
32.0,ring,1.5,0.0,4,0.0001545177658381621,-6.462129400975764e-06,0.0003154976610773
32.0,ring,1.5,0.1,4,0.00110631088554495,0.000827612895392725,0.0013343043831504251
32.0,ring,1.5,0.35,4,0.0150137616859343,0.01371044958400045,0.01606983529876055
32.0,ring,1.5,0.65,4,0.050730804882426726,0.04778810058774714,0.053673509177106296
32.0,ring,1.65,0.0,4,4.5240398262765805e-05,-9.937374980506839e-05,0.0001898545463306
32.0,ring,1.65,0.1,4,0.001671744745373525,0.0014999647756769,0.001863449575964525
32.0,ring,1.65,0.35,4,0.013790109127337299,0.012610997257784248,0.01496922099689035
32.0,ring,1.65,0.65,4,0.044682934530072646,0.04161903685444745,0.048154332576633
32.0,ring,1.8,0.0,4,7.501282637294825e-05,-6.0972305203403496e-05,0.00021466259035637328
32.0,ring,1.8,0.1,4,0.000807434372010325,0.000769207328899525,0.0008526507964615001
32.0,ring,1.8,0.35,4,0.011496204803210225,0.01089486459028565,0.0120975450161348
32.0,ring,1.8,0.65,4,0.041399360231208826,0.0393879338127652,0.04341078664965245
32.0,ring,2.1,0.0,4,-0.00014597259910007095,-0.00027606308773565,-1.5882110464491905e-05
32.0,ring,2.1,0.1,4,0.000725708916564875,0.000468414664305025,0.0009563141467894001
32.0,ring,2.1,0.35,4,0.00940408523139735,0.008911978171796925,0.009785177796929001
32.0,ring,2.1,0.65,4,0.034734542840492974,0.03385863518679475,0.035610450494191204
32.0,small_world,1.3,0.0,4,6.309374606491258e-05,-0.00037264979158857503,0.00044841607251838755
32.0,small_world,1.3,0.1,4,0.00011249046166707501,-0.00017712849354315,0.000341203386176925
32.0,small_world,1.3,0.35,4,0.003687775971664975,0.00271133353644015,0.005049040713969625
32.0,small_world,1.3,0.65,4,0.024358240317669876,0.01572763193927395,0.03463318076532448
