agent_id,application,communication,consensus_disagreement,disruption,disruption_active,disruption_step,distributed_entropy,entropy_change,local_kpi_composite,role,seed,step,topology
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.45198826401872766,-0.02576463554966385,0.007999999999999964,warehouse,5101,12,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.35453968067649644,-0.006420745767520553,0.007999999999999964,carrier,5101,13,ring_plus_hubs
carrier_06,commercial,reliable,1.0,nominal,0,8,0.3561851877900972,-0.006945569598539869,0.007999999999999964,carrier,5101,13,ring_plus_hubs
manufacturer_03,commercial,reliable,1.0,nominal,0,8,0.3561851877900972,-0.006945569598539869,0.16480000000000003,manufacturer,5101,13,ring_plus_hubs
manufacturer_04,commercial,reliable,1.0,nominal,0,8,0.4310883497971723,-0.022521952012802715,0.20400000000000001,manufacturer,5101,13,ring_plus_hubs
retailer_09,commercial,reliable,1.0,nominal,0,8,0.43522874700735337,-0.024150429180771094,4.267980966955191,retailer,5101,13,ring_plus_hubs
retailer_10,commercial,reliable,1.0,nominal,0,8,0.43522874700735337,-0.024150429180771094,3.5647069552237367,retailer,5101,13,ring_plus_hubs
retailer_11,commercial,reliable,1.0,nominal,0,8,0.4335253156731969,-0.02338175478031873,4.2208229051194435,retailer,5101,13,ring_plus_hubs
supplier_01,commercial,reliable,1.0,nominal,0,8,0.43207117810217716,-0.02320383371503021,0.16479999999999997,supplier,5101,13,ring_plus_hubs
supplier_02,commercial,reliable,1.0,nominal,0,8,0.35453968067649644,-0.006420745767520553,0.16480000000000003,supplier,5101,13,ring_plus_hubs
warehouse_07,commercial,reliable,1.0,nominal,0,8,0.35453968067649644,-0.006420745767520553,0.007999999999999964,warehouse,5101,13,ring_plus_hubs
warehouse_08,commercial,reliable,1.0,nominal,0,8,0.42964203996942196,-0.022346224049305696,0.007999999999999964,warehouse,5101,13,ring_plus_hubs
carrier_05,commercial,reliable,1.0,nominal,0,8,0.3496982562490866,-0.004841424427409813,0.007999999999999964,carrier,5101,14,ring_plus_hubs
