model_key,condition,phase,agent_i,agent_j,community_i,community_j,connected_correlation,between_cluster_sd,independent_clusters,source_type,graph_distance,metric,estimate,ci_low,ci_high,clusters_total,undefined_clusters,bootstrap_replicates
granite,field_persistent,disruption,9.0,0.0,1.0,0.0,0.1249074074074074,0.305959413242084,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,1.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,2.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,3.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,4.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,5.0,1.0,0.0,0.109537037037037,0.2683098486770833,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,6.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,7.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,8.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,9.0,1.0,1.0,0.1388773148148148,0.3401785581441592,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,10.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,11.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,12.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,13.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,14.0,1.0,1.0,0.0586805555555555,0.1437374189341517,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,9.0,15.0,1.0,1.0,0.0762847222222222,0.1868586446143973,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,0.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,1.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,2.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,3.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,4.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,5.0,1.0,0.0,0.0146527777777777,0.0358918288699479,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,6.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,7.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,8.0,1.0,1.0,0.0050347222222222,0.0123325004410958,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,9.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,10.0,1.0,1.0,0.0708217592592592,0.1734771728714151,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,11.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,12.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,13.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,14.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,10.0,15.0,1.0,1.0,0.0024421296296296,0.0059819714783246,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,0.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,1.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,2.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,3.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,4.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,5.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,6.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,7.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,8.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,9.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,10.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,11.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,12.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,13.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,14.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,11.0,15.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,0.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,1.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,2.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,3.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,4.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,5.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,6.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,7.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,8.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,9.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,10.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,11.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,12.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,13.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,14.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,12.0,15.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,0.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,1.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,2.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,3.0,1.0,0.0,0.0654629629629629,0.1603508563099728,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,4.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,5.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,6.0,1.0,0.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,7.0,1.0,0.0,0.0662499999999999,0.1622786954593855,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,8.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,9.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,10.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,11.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
granite,field_persistent,disruption,13.0,12.0,1.0,1.0,0.0,0.0,6.0,mean_connected_matrix,,,,,,,,
