stage,application,scheduler,episodes,independent_panels,attempted_sketch_messages,transmitted_sketch_messages,delivered_sketch_messages,dropped_sketch_messages,forwarded_sketch_messages,sketch_on_wire_bytes,operational_messages,operational_bytes,fully_counted_messages,fully_counted_bytes,mean_trigger_activation_rate,mean_trigger_compute_seconds,mean_trigger_compute_microseconds_per_evaluation,mean_primary_distributed_state_error
development,humanitarian,kpi_change,24,24,447670,418532,380063,67607,360726,14230088,8295,1954580,426827,16184668,0.6717357295482295,not_recorded,not_recorded,0.06927923849511779
development,humanitarian,l1_belief_drift,24,24,610744,570570,517918,92826,491340,19399380,8298,1955354,578868,21354734,0.9734909188034188,not_recorded,not_recorded,0.06718672254241793
development,humanitarian,matched_random,24,24,423196,398492,361883,61313,344062,13548728,8301,1956110,406793,15504838,0.6210775335775336,not_recorded,not_recorded,0.07042011509991493
development,humanitarian,none,24,24,0,0,0,0,0,0,8283,1951948,8283,1951948,0.0,not_recorded,not_recorded,0.08034066890444604
development,humanitarian,offline_oracle,24,24,627287,586091,532057,95230,504881,19927094,8303,1956529,594394,21883623,0.9942784645909647,not_recorded,not_recorded,0.06719017036414127
development,humanitarian,periodic,24,24,352989,334110,303480,49509,288234,11359740,8293,1954364,342403,13314104,0.5166666666666666,not_recorded,not_recorded,0.07136817688144387
development,humanitarian,predictive_uncertainty_change,24,24,417920,393818,357632,60288,340118,13389812,8297,1955225,402115,15345037,0.5999465811965812,not_recorded,not_recorded,0.0706857329338419
development,humanitarian,tsallis_spectrum_change,24,24,455171,427979,388428,66743,369421,14551286,8299,1955633,436278,16506919,0.6787488553113553,not_recorded,not_recorded,0.06961229746584598
development,humanitarian,v7_shannon_change,24,24,462273,434354,394206,68067,374823,14768036,8300,1955913,442654,16723949,0.6938606532356534,not_recorded,not_recorded,0.06966574775737198
development,utility_restoration,age_of_information,24,24,155639,150290,136025,19614,124401,5109860,4988,1170200,155278,6280060,0.38575434981684986,not_recorded,not_recorded,0.07134968018750083
development,utility_restoration,always_on,24,24,302418,285922,258700,43718,234938,9721348,5003,1173626,290925,10894974,1.0,not_recorded,not_recorded,0.06899279973811527
development,utility_restoration,generalized_information,24,24,222809,211169,191061,31748,173975,7179746,5003,1173661,216172,8353407,0.657451923076923,not_recorded,not_recorded,0.0703122233404677
development,utility_restoration,js_drift,24,24,202552,192060,173765,28787,158089,6530040,5006,1174332,197066,7704372,0.6206406440781441,not_recorded,not_recorded,0.0701752944740018
development,utility_restoration,kpi_change,24,24,208186,197909,179065,29121,163011,6728906,4997,1172282,202906,7901188,0.6586729242979243,not_recorded,not_recorded,0.06939359961233395
development,utility_restoration,l1_belief_drift,24,24,295034,278985,252441,42593,229348,9485490,5003,1173651,283988,10659141,0.9743360805860806,not_recorded,not_recorded,0.06902095333073471
development,utility_restoration,matched_random,24,24,200618,191469,173243,27375,157840,6509946,5001,1173250,196470,7683196,0.6163347069597069,not_recorded,not_recorded,0.07005829614959258
development,utility_restoration,none,24,24,0,0,0,0,0,0,4993,1171606,4993,1171606,0.0,not_recorded,not_recorded,0.08562549932478991
development,utility_restoration,offline_oracle,24,24,301134,284727,257627,43507,233985,9680718,5003,1173652,289730,10854370,0.9925652472527474,not_recorded,not_recorded,0.06907839584846769
development,utility_restoration,periodic,24,24,170868,164418,148760,22108,135559,5590212,4998,1172441,169416,6762653,0.5167067307692307,not_recorded,not_recorded,0.07012606071083766
development,utility_restoration,predictive_uncertainty_change,24,24,202491,193236,174930,27561,159251,6570024,4984,1169288,198220,7739312,0.6220028235653235,not_recorded,not_recorded,0.07045803827490504
development,utility_restoration,tsallis_spectrum_change,24,24,218125,207410,187692,30433,170774,7051940,4992,1171151,212402,8223091,0.6797142094017093,not_recorded,not_recorded,0.07022772164348558
development,utility_restoration,v7_shannon_change,24,24,221488,210468,190349,31139,173322,7155912,4995,1171902,215463,8327814,0.6982066544566544,not_recorded,not_recorded,0.0701332575393333
